page_algo,cache_algo,workload,tlb_hit_rate,page_fault_rate,l1_hit_rate,l2_hit_rate,l3_hit_rate,amat_cycles,page_evictions,cache_evictions
FIFO,LRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
FIFO,LRU,RANDOM,0.016084,0.937004,0.003776,0.0273352,0.999472,187555,468246,982536
FIFO,LRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
FIFO,LRU,WORKING_SET,0.730584,0.123582,0.10459,0.688031,0.998167,24770.4,61535,587303
FIFO,FIFO,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
FIFO,FIFO,RANDOM,0.016084,0.937004,0.003774,0.0273934,0.999472,187555,468246,982509
FIFO,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
FIFO,FIFO,WORKING_SET,0.730584,0.123582,0.10432,0.617803,0.998504,24772.9,61535,618931
FIFO,RANDOM,SEQUENTIAL,0,1,0,0.016436,0.999479,200156,499744,991710
FIFO,RANDOM,RANDOM,0.016084,0.937004,0.00382,0.0400369,0.999465,187554,468246,976166
FIFO,RANDOM,LOOPING,0.999936,6.4e-05,0.01696,0.999935,0,29.6182,0,491512
FIFO,RANDOM,WORKING_SET,0.730584,0.123582,0.104006,0.610611,0.998532,24773.2,61535,622370
FIFO,PLRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
FIFO,PLRU,RANDOM,0.016084,0.937004,0.003772,0.0273331,0.999472,187555,468246,982541
FIFO,PLRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
FIFO,PLRU,WORKING_SET,0.730584,0.123582,0.104588,0.675472,0.998238,24770.8,61535,592927
LRU,LRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
LRU,LRU,RANDOM,0.01611,0.937154,0.001974,0.0140297,0.99948,187586,468321,990953
LRU,LRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LRU,LRU,WORKING_SET,0.736436,0.093966,0.101478,0.707391,0.998053,18846,46727,580647
LRU,FIFO,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
LRU,FIFO,RANDOM,0.01611,0.937154,0.001976,0.0140037,0.99948,187586,468321,990964
LRU,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LRU,FIFO,WORKING_SET,0.736436,0.093966,0.101042,0.628877,0.998465,18848.8,46727,616219
LRU,RANDOM,SEQUENTIAL,0,1,0,0.016458,0.999479,200156,499744,991699
LRU,RANDOM,RANDOM,0.01611,0.937154,0.002008,0.0289642,0.999472,187585,468321,983467
LRU,RANDOM,LOOPING,0.999936,6.4e-05,0.016888,0.999935,0,29.6191,0,491548
LRU,RANDOM,WORKING_SET,0.736436,0.093966,0.100962,0.632939,0.998448,18848.6,46727,614448
LRU,PLRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
LRU,PLRU,RANDOM,0.01611,0.937154,0.001972,0.0140397,0.99948,187586,468321,990950
LRU,PLRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LRU,PLRU,WORKING_SET,0.736436,0.093966,0.10142,0.694164,0.998137,18846.4,46727,586627
OPTIMAL,LRU,SEQUENTIAL,0,0.93778,0.937108,0.000349806,0.991856,187664,468634,62809
OPTIMAL,LRU,RANDOM,0.046016,0.67608,0.600512,0.278972,0.998222,135333,337784,343693
OPTIMAL,LRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
OPTIMAL,LRU,WORKING_SET,0.802442,0.071066,0.126058,0.842125,0.996289,14254.1,35277,505886
OPTIMAL,FIFO,SEQUENTIAL,0,0.93778,0.937108,0.000349806,0.991856,187664,468634,62809
OPTIMAL,FIFO,RANDOM,0.046016,0.67608,0.593052,0.288361,0.998232,135333,337784,348202
OPTIMAL,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
OPTIMAL,FIFO,WORKING_SET,0.802442,0.071066,0.125276,0.797911,0.997104,14255.6,35277,525676
OPTIMAL,RANDOM,SEQUENTIAL,0,0.93778,0.937106,0.0172989,0.991716,187664,468634,62278
OPTIMAL,RANDOM,RANDOM,0.046016,0.67608,0.551516,0.335151,0.998283,135334,337784,373257
OPTIMAL,RANDOM,LOOPING,0.999936,6.4e-05,0.01689,0.999935,0,29.6191,0,491547
OPTIMAL,RANDOM,WORKING_SET,0.802442,0.071066,0.12369,0.7869,0.997258,14256,35277,531454
OPTIMAL,PLRU,SEQUENTIAL,0,0.93778,0.937106,0.000381594,0.991856,187664,468634,62810
OPTIMAL,PLRU,RANDOM,0.046016,0.67608,0.59825,0.282185,0.998225,135333,337784,344994
OPTIMAL,PLRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
OPTIMAL,PLRU,WORKING_SET,0.802442,0.071066,0.125834,0.830007,0.996555,14254.5,35277,511312
CLOCK,LRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
CLOCK,LRU,RANDOM,0.01611,0.937114,0.001974,0.0140537,0.99948,187578,468301,990941
CLOCK,LRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
CLOCK,LRU,WORKING_SET,0.736438,0.09402,0.10148,0.689071,0.998167,18857.4,46754,588876
CLOCK,FIFO,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
CLOCK,FIFO,RANDOM,0.01611,0.937114,0.001976,0.0140097,0.99948,187578,468301,990961
CLOCK,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
CLOCK,FIFO,WORKING_SET,0.736438,0.09402,0.101044,0.612668,0.99853,18860.2,46754,623503
CLOCK,RANDOM,SEQUENTIAL,0,1,0,0.016398,0.999479,200156,499744,991729
CLOCK,RANDOM,RANDOM,0.01611,0.937114,0.002094,0.0303455,0.999471,187577,468301,982693
CLOCK,RANDOM,LOOPING,0.999936,6.4e-05,0.016854,0.999935,0,29.6195,0,491565
CLOCK,RANDOM,WORKING_SET,0.736438,0.09402,0.101184,0.617074,0.998512,18860,46754,621426
CLOCK,PLRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
